time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1997-06-21T08:45:26.510Z,33.152,60.148,10,4.5,mb,,,,0.86,us,usp00083sq,2014-11-07T01:02:59.067Z,"92 km ENE of B?rjand, Iran",earthquake,,,,13,reviewed,us,us
1997-06-20T12:57:32.360Z,32.334,59.957,10,5.6,mwc,,,,1.37,us,usp00083rt,2022-04-29T16:56:19.683Z,"90 km SE of B?rjand, Iran",earthquake,,,,,reviewed,us,hrv
1997-06-16T03:00:04.480Z,33.14,60.152,10,5,mwc,,,,0.9,us,usp00083k0,2022-04-29T16:56:02.432Z,"92 km ENE of B?rjand, Iran",earthquake,,,,,reviewed,us,hrv
1997-06-02T03:54:42.910Z,33.963,48.291,27.2,4.7,mb,,,,0.88,us,usp0008325,2014-11-07T01:02:52.546Z,"11 km NNE of Aleshtar, Iran",earthquake,,,,2,reviewed,us,us
1997-05-26T01:17:54.050Z,32.937,47.035,33,4.7,mb,,,,0.9,us,usp00082up,2014-11-07T01:02:49.464Z,"34 km NW of Dehlor?n, Iran",earthquake,,,,10,reviewed,us,us
1997-05-25T15:07:42.760Z,33.135,60.198,10,4.5,mb,,,,0.84,us,usp00082u3,2014-11-07T01:02:49.386Z,"96 km ENE of B?rjand, Iran",earthquake,,,,2,reviewed,us,us
1997-05-15T12:48:20.940Z,32.934,60.261,10,4.5,mb,,,,0.99,us,usp00082be,2014-11-07T01:02:47.014Z,"97 km E of B?rjand, Iran",earthquake,,,,3,reviewed,us,us
1997-05-14T14:14:16.830Z,33.109,60.272,10,4.8,mb,,,,1.08,us,usp00082a3,2014-11-07T01:02:46.838Z,"101 km ENE of B?rjand, Iran",earthquake,,,,47,reviewed,us,us
1997-05-13T11:42:21.470Z,33.465,59.894,10,4.5,mb,,,,1.23,us,usp0008286,2020-09-15T19:32:23.468Z,"71 km ESE of Q?’en, Iran",earthquake,,,,20,reviewed,us,us
1997-05-12T03:50:59.810Z,37.93,48.067,10,4.6,mb,,,,1.1,us,usp0008258,2014-11-07T01:02:46.177Z,"40 km S of Om?dcheh, Iran",earthquake,,,,29,reviewed,us,us
1997-05-11T22:09:04.360Z,33.349,60.15,10,4.5,mb,,,,1.06,us,usp000824t,2014-11-07T01:02:46.102Z,"98 km ESE of Q?’en, Iran",earthquake,,,,1,reviewed,us,us
1997-05-11T01:29:30.280Z,33.141,60.231,10,4.6,mb,,,,0.86,us,usp000822x,2014-11-07T01:02:45.921Z,"99 km ENE of B?rjand, Iran",earthquake,,,,20,reviewed,us,us
1997-05-10T23:35:36.790Z,33.12,60.105,10,4.5,mb,,,,1.33,us,usp000822t,2014-11-07T01:02:45.909Z,"Iran-Afghanistan border region",earthquake,,,,23,reviewed,us,us
1997-05-10T22:13:53.100Z,33.444,60.085,10,4.6,mb,,,,1.09,us,usp000822p,2014-11-07T01:02:45.893Z,"89 km ESE of Q?’en, Iran",earthquake,,,,24,reviewed,us,us
1997-05-10T17:32:43.650Z,33.479,59.867,10,4.7,mb,,,,0.87,us,usp0008223,2014-11-07T01:02:45.827Z,"69 km ESE of Q?’en, Iran",earthquake,,,,11,reviewed,us,us
1997-05-10T14:04:35.740Z,33.03,60.172,10,4.5,mb,,,,0.97,us,usp000821s,2014-11-07T01:02:45.805Z,"90 km ENE of B?rjand, Iran",earthquake,,,,11,reviewed,us,us
1997-05-10T12:23:07.550Z,33.119,60.247,10,4.6,mb,,,,0.94,us,usp000821j,2014-11-07T01:02:45.779Z,"99 km ENE of B?rjand, Iran",earthquake,,,,22,reviewed,us,us
1997-05-10T10:27:20.940Z,33.731,59.953,10,5.4,ms,,,,1.21,us,usp0008218,2014-11-07T01:02:45.755Z,"71 km E of Q?’en, Iran",earthquake,,,,1,reviewed,us,us
1997-05-10T09:12:48.010Z,33.381,60.06,10,4.7,mb,,,,1.13,us,usp0008212,2014-11-07T01:02:45.742Z,"89 km ESE of Q?’en, Iran",earthquake,,,,8,reviewed,us,us
1997-05-10T08:37:14.860Z,32.883,60.31,10,4.5,mb,,,,1.39,us,usp000820v,2014-11-07T01:02:45.729Z,"101 km E of B?rjand, Iran",earthquake,,,,7,reviewed,us,us
1997-05-10T08:22:47.980Z,33.082,60.17,10,4.8,mb,,,,0.92,us,usp000820t,2014-11-07T01:02:45.726Z,"91 km ENE of B?rjand, Iran",earthquake,,,,3,reviewed,us,us
1997-05-10T07:57:29.720Z,33.825,59.809,10,7.3,mwb,,,,1.12,us,usp000820p,2022-04-29T16:53:18.341Z,"58 km E of Q?’en, Iran",earthquake,,,,,reviewed,us,us
1997-05-05T15:11:54.020Z,27.099,53.885,33,5.1,mwc,,,,1.03,us,usp00081tc,2022-04-29T16:52:49.430Z,"61 km NNW of K?sh, Iran",earthquake,,,,,reviewed,us,hrv
1997-05-01T19:12:09.170Z,37.537,56.274,33,4.7,mb,,,,0.88,us,usp00081kf,2014-11-07T01:02:42.633Z,"71 km ENE of Kal?leh, Iran",earthquake,,,,1,reviewed,us,us
1997-04-22T17:39:38.000Z,28.378,52.896,33,4.8,mb,,,,0.85,us,usp000811z,2022-04-29T16:50:58.380Z,"60 km SSE of F?r?z?b?d, Iran",earthquake,,,,38,reviewed,us,us
